iter	Logloss
0	0.6824882758
1	0.6731373748
2	0.6634101955
3	0.6551023816
4	0.6476174821
5	0.6391066299
6	0.6317827928
7	0.6237506699
8	0.6155515581
9	0.6106704366
10	0.6056265776
11	0.599096771
12	0.5931028086
13	0.588256208
14	0.5828348693
15	0.5784470659
16	0.5735450361
17	0.5706147149
18	0.5667870547
19	0.5637930401
20	0.5605425478
21	0.5563979566
22	0.5520519807
23	0.5493093569
24	0.5465159071
25	0.5445868786
26	0.5409876658
27	0.5386718114
28	0.5362538759
29	0.5339464966
30	0.5310517706
31	0.5291062838
32	0.5264303148
33	0.5238267982
34	0.5213731394
35	0.5194623496
36	0.5183813663
37	0.516615401
38	0.514893813
39	0.5136076026
40	0.5118745772
41	0.5099756327
42	0.5081437919
43	0.5061780426
44	0.5037930355
45	0.502753558
46	0.5014824943
47	0.5004207725
48	0.4987648683
49	0.4979269684
50	0.4969464981
51	0.4958163987
52	0.4944494048
53	0.4930512928
54	0.4921981417
55	0.490794845
56	0.4896265746
57	0.488108288
58	0.4870920602
59	0.4863747582
60	0.4856810862
61	0.4848302218
62	0.4837871053
63	0.4832805715
64	0.4826799901
65	0.4817163166
66	0.4803946614
67	0.4790622069
68	0.4783747673
69	0.4775249627
70	0.4770246013
71	0.4762410575
72	0.4753891848
73	0.4744834444
74	0.4736221321
75	0.4725715641
76	0.4714541483
77	0.4708190146
78	0.4696675454
79	0.4686026367
80	0.4675343073
81	0.4666250044
82	0.4658695708
83	0.4650729114
84	0.4646117077
85	0.4639339557
86	0.4633764273
87	0.4628261383
88	0.4624562393
89	0.4614685502
90	0.4607492638
91	0.4602886494
92	0.4594970082
93	0.4591778228
94	0.458507172
95	0.4579635158
96	0.4571913252
97	0.4566304576
98	0.4558968817
99	0.4552399987
100	0.4544794193
101	0.453970621
102	0.4535327049
103	0.4529012679
104	0.4523804829
105	0.4520053603
106	0.4511503984
107	0.4508773274
108	0.4503953114
109	0.449673633
110	0.4492402911
111	0.4485610415
112	0.4481831676
113	0.4474734702
114	0.4468756024
115	0.4460783792
116	0.4452734133
117	0.4448745606
118	0.4441837665
119	0.4435627495
120	0.4433574351
121	0.4428437612
122	0.4421733586
123	0.4416644975
124	0.4409939787
125	0.4405168209
126	0.4402900581
127	0.4394482754
128	0.4387781435
129	0.438128041
130	0.4375496743
131	0.4370112049
132	0.4366455015
133	0.4363398907
134	0.4357989385
135	0.4355264688
136	0.4350957023
137	0.4345413344
138	0.4343125673
139	0.4338136338
140	0.4333906245
141	0.4330355716
142	0.4327494713
143	0.4321505679
144	0.4317415919
145	0.4312350342
146	0.4308931948
147	0.4303234167
148	0.4297313551
149	0.4293579702
150	0.4289002362
151	0.4285132733
152	0.4282291867
153	0.4278868568
154	0.4273673424
155	0.426854427
156	0.4264949033
157	0.4261031458
158	0.4258250533
159	0.4253379434
160	0.4250667725
161	0.4245879333
162	0.4244233547
163	0.4237571723
164	0.4233883495
165	0.4229776624
166	0.4225066022
167	0.4220125041
168	0.4216171544
169	0.4209722493
170	0.4203506745
171	0.4200245747
172	0.4196214634
173	0.4189115266
174	0.4184818396
175	0.4183270876
176	0.4180338222
177	0.4176121224
178	0.4173371271
179	0.4171385574
180	0.4168713604
181	0.4162574432
182	0.4159788563
183	0.415740996
184	0.4153621168
185	0.4150590898
186	0.4145118272
187	0.41405626
188	0.4136870469
189	0.4132987616
190	0.4128746239
191	0.4123635641
192	0.4120742718
193	0.4118195964
194	0.4115661875
195	0.4112041833
196	0.4108856545
197	0.410629006
198	0.4101479632
199	0.4097829524
200	0.409524097
201	0.409361321
202	0.4089780978
203	0.4085350108
204	0.4082415136
205	0.40779869
206	0.4074909643
207	0.4071803599
208	0.4068070195
209	0.4065208931
210	0.4060866054
211	0.4056769488
212	0.4053960124
213	0.4049765622
214	0.4045184806
215	0.4040478842
216	0.4037724938
217	0.403498015
218	0.4031938015
219	0.402788548
220	0.4025626557
221	0.4020052894
222	0.4017687026
223	0.4011882382
224	0.4010012739
225	0.4005181405
226	0.4002519259
227	0.3996220107
228	0.3991535039
229	0.3988929333
230	0.3986530301
231	0.3984535369
232	0.3980021172
233	0.3975911522
234	0.3971405452
235	0.3968695146
236	0.3963393844
237	0.395939092
238	0.3955357271
239	0.395373879
240	0.3951674
241	0.3947104036
242	0.3944764065
243	0.3941144721
244	0.3938859719
245	0.3936448268
246	0.3932847488
247	0.3929679292
248	0.3926761123
249	0.3923394463
250	0.3918210404
251	0.3914903862
252	0.3911110806
253	0.3905713213
254	0.3902770372
255	0.3900346088
256	0.3894955492
257	0.3893257226
258	0.3891494534
259	0.3887819033
260	0.3885104165
261	0.3881307876
262	0.3877231766
263	0.3874404009
264	0.3873104548
265	0.3871150754
266	0.3865984288
267	0.3863487071
268	0.3862679366
269	0.3858746457
270	0.385462594
271	0.3851636494
272	0.3847354884
273	0.3845388126
274	0.3842860337
275	0.3840120404
276	0.3838690091
277	0.3835827688
278	0.3833342346
279	0.3829976016
280	0.3827256133
281	0.3822488376
282	0.3819996825
283	0.3818691555
284	0.381608727
285	0.3813281368
286	0.3809836223
287	0.3807092336
288	0.380491695
289	0.3801965779
290	0.3800442776
291	0.3798099838
292	0.3793029507
293	0.379018617
294	0.378748215
295	0.3783836308
296	0.3781479406
297	0.3779715402
298	0.377965306
299	0.3776944457
300	0.37737491
301	0.3771143766
302	0.3768129309
303	0.3765819154
304	0.3760943555
305	0.3758586882
306	0.3754572545
307	0.3752116582
308	0.3749172742
309	0.3746003188
310	0.3742591545
311	0.3739813819
312	0.3735729865
313	0.3731797395
314	0.3729082939
315	0.3726285051
316	0.3721565559
317	0.3718836596
318	0.371614242
319	0.3714138517
320	0.3711042864
321	0.3707644017
322	0.3702292059
323	0.3700337973
324	0.3698471423
325	0.3695042306
326	0.369309564
327	0.3690340278
328	0.3689090132
329	0.3686172553
330	0.3682097618
331	0.3677648096
332	0.3675979751
333	0.3672453681
334	0.3667449653
335	0.3663685278
336	0.3661647385
337	0.3660076775
338	0.3657698433
339	0.3654920303
340	0.3652037176
341	0.3649787343
342	0.3646936563
343	0.3644221258
344	0.3639672747
345	0.3636627736
346	0.3634631009
347	0.3632024707
348	0.3629636518
349	0.3625526002
350	0.3621846269
351	0.3619096523
352	0.3616841723
353	0.3615097844
354	0.3612642862
355	0.3609816599
356	0.3606443116
357	0.3605709678
358	0.3602167312
359	0.3599397571
360	0.3598176002
361	0.3596366113
362	0.359339234
363	0.3591051094
364	0.3586397045
365	0.3582844348
366	0.3578779261
367	0.3576009193
368	0.3573878829
369	0.3572144046
370	0.3569463491
371	0.3565816569
372	0.356439282
373	0.3562951546
374	0.3559921405
375	0.3556508236
376	0.3554757523
377	0.3553622943
378	0.3549971943
